               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11696,           0.0051693,             0.11121,           0.0013276,             0.18375,          0.00095426,          0.00018606,             0.10897,           0.0044125,             0.10884,               9e-05,               9e-05,             0.09919
                   1,             0.11275,           0.0059318,             0.10926,           0.0017872,             0.24735,           0.0021326,          0.00051897,             0.10312,           0.0046772,             0.10735,             0.00019,             0.00019,             0.09829
                   2,             0.10462,            0.006474,             0.10702,           0.0020717,             0.30035,           0.0013694,           0.0004229,            0.096672,           0.0049623,             0.10578,          0.00028997,          0.00028997,             0.09739
                   3,            0.097879,           0.0065454,             0.10511,           0.0020935,             0.28975,           0.0012989,          0.00039288,            0.091455,           0.0052128,             0.10429,          0.00038991,          0.00038991,             0.09649
                   4,            0.093923,            0.006706,             0.10319,           0.0021205,             0.29329,            0.001276,          0.00038784,            0.087219,           0.0053997,             0.10272,          0.00048981,          0.00048981,             0.09559
                   5,            0.092963,            0.006829,             0.10146,           0.0020935,             0.28975,           0.0013578,          0.00043604,            0.085107,           0.0055041,             0.10125,          0.00058964,          0.00058964,             0.09469
                   6,            0.090911,           0.0073773,            0.099579,            0.002062,            0.067138,           0.0013894,          0.00044315,            0.083656,            0.005517,            0.099443,          0.00068939,          0.00068939,            0.093789
                   7,            0.092384,           0.0076624,            0.098239,            0.006565,            0.010601,           0.0019597,          0.00062941,            0.083056,           0.0055748,            0.097857,          0.00078905,          0.00078905,            0.092889
                   8,            0.089552,           0.0073589,            0.096691,           0.0026104,             0.25088,           0.0015173,          0.00051491,             0.08151,           0.0056654,            0.096431,           0.0008886,           0.0008886,            0.091989
                   9,            0.089299,           0.0076114,            0.095005,           0.0022698,             0.27562,           0.0015156,          0.00046259,            0.080532,            0.005682,             0.09484,          0.00098802,          0.00098802,            0.091088
                  10,            0.088035,           0.0072241,            0.093479,             0.00257,             0.19788,           0.0015141,           0.0004399,            0.079691,           0.0057571,            0.093293,           0.0010873,           0.0010873,            0.090187
                  11,            0.085621,           0.0075432,            0.091772,           0.0030342,             0.29682,           0.0018665,          0.00054687,            0.078222,           0.0057986,            0.091631,           0.0011865,           0.0011865,            0.089286
                  12,            0.083496,           0.0076853,            0.089622,           0.0038543,             0.20495,           0.0019372,          0.00056936,            0.076176,             0.00588,            0.089698,           0.0012854,           0.0012854,            0.088385
                  13,            0.083391,           0.0078131,            0.087616,           0.0042007,            0.088339,           0.0018239,          0.00056928,            0.074918,           0.0060311,            0.087919,           0.0013842,           0.0013842,            0.087484
                  14,            0.082559,           0.0080452,            0.085542,           0.0063337,             0.17314,           0.0024531,          0.00069714,            0.073975,            0.006013,            0.086065,           0.0014828,           0.0014828,            0.086583
                  15,             0.07965,           0.0088137,            0.082839,              0.0113,             0.18728,           0.0038206,          0.00091003,            0.071618,           0.0060593,            0.082376,           0.0015812,           0.0015812,            0.085681
                  16,            0.078282,           0.0084592,            0.080864,            0.025559,             0.19081,           0.0097421,           0.0019268,            0.068756,           0.0060844,            0.079972,           0.0016793,           0.0016793,            0.084779
                  17,            0.074656,           0.0083474,            0.079334,            0.093746,             0.29329,             0.04658,           0.0085868,            0.065547,           0.0060451,             0.07784,           0.0017773,           0.0017773,            0.083877
                  18,            0.070546,           0.0082049,            0.077847,            0.082272,             0.31449,            0.046732,           0.0098912,            0.062948,           0.0060734,            0.077031,           0.0018749,           0.0018749,            0.082975
                  19,            0.070122,           0.0089702,            0.076996,            0.055774,             0.38163,            0.031603,           0.0075177,            0.061327,           0.0061278,             0.07665,           0.0019723,           0.0019723,            0.082072
                  20,              0.0681,           0.0084155,            0.076283,            0.046976,             0.34629,            0.029651,           0.0066681,            0.058246,           0.0062114,             0.07579,           0.0020694,           0.0020694,            0.081169
                  21,            0.063442,           0.0084088,            0.075881,            0.084082,              0.4311,            0.064768,            0.015605,            0.056948,           0.0058854,            0.075779,           0.0021663,           0.0021663,            0.080266
                  22,            0.063209,           0.0088816,            0.075491,            0.096916,              0.5371,            0.078991,             0.01553,            0.064878,           0.0054292,            0.075416,           0.0022628,           0.0022628,            0.079363
                  23,            0.063682,           0.0072775,            0.075492,              0.1107,             0.48605,            0.090222,            0.019772,             0.05883,           0.0054314,            0.075444,            0.002359,            0.002359,            0.078459
                  24,            0.065195,           0.0071835,            0.075136,             0.14093,             0.53004,             0.11766,            0.028965,            0.056859,           0.0056057,            0.074969,           0.0024548,           0.0024548,            0.077555
                  25,            0.062826,           0.0072405,            0.075327,              0.1055,             0.34982,            0.081469,            0.019412,            0.055172,           0.0058509,            0.074991,           0.0025503,           0.0025503,             0.07665
                  26,            0.058097,           0.0081529,            0.075155,             0.24077,              0.5477,             0.20433,            0.070741,            0.049508,           0.0058227,            0.075088,           0.0026454,           0.0026454,            0.075745
                  27,            0.062666,           0.0076233,            0.075171,             0.20959,             0.51943,             0.16293,            0.054145,            0.051824,           0.0058419,            0.074843,           0.0027401,           0.0027401,             0.07484
                  28,            0.053487,           0.0082592,            0.074939,             0.17455,             0.74912,             0.16232,             0.04864,            0.049663,           0.0057855,            0.074847,           0.0028345,           0.0028345,            0.073934
                  29,            0.055127,           0.0078049,            0.074998,             0.11065,             0.69611,             0.10094,            0.030644,            0.045826,           0.0060143,            0.074777,           0.0029284,           0.0029284,            0.073028
                  30,            0.052518,           0.0083427,            0.074838,             0.08659,             0.46996,             0.06946,            0.020148,            0.059663,           0.0053975,            0.074845,           0.0030219,           0.0030219,            0.072122
                  31,            0.056343,           0.0075726,            0.074916,             0.43119,             0.58657,             0.35582,             0.14095,            0.043629,           0.0059552,             0.07481,            0.003115,            0.003115,            0.071215
                  32,            0.054085,           0.0077579,            0.074884,             0.37281,             0.64311,             0.35859,             0.10795,            0.043197,           0.0059226,            0.074695,           0.0032076,           0.0032076,            0.070308
                  33,             0.05154,            0.007798,            0.074818,             0.40275,             0.66431,             0.35635,            0.099971,             0.04692,           0.0056938,             0.07475,           0.0032998,           0.0032998,              0.0694
                  34,            0.054717,           0.0089176,            0.074833,             0.39244,             0.64311,             0.34544,             0.13273,            0.042836,           0.0058423,            0.074744,           0.0033915,           0.0033915,            0.068492
                  35,            0.051592,           0.0071002,             0.07471,             0.33994,             0.58304,             0.33425,            0.081562,            0.048558,           0.0056826,             0.07478,           0.0034827,           0.0034827,            0.067583
